 

stn;time;gor000za
WSLBAF;200001031730;0
WSLBAF;200001031740;0
WSLBAF;200001031750;0
WSLBAF;200001031800;0
WSLBAF;200001031810;0
WSLBAF;200001031820;0
WSLBAF;200001031830;0
WSLBAF;200001031840;0
WSLBAF;200001031850;0
WSLBAF;200001031900;0
WSLBAF;200001031910;0
WSLBAF;200001031920;0
WSLBAF;200001031930;0
WSLBAF;200001031940;0
WSLBAF;200001031950;0
WSLBAF;200001032000;0
WSLBAF;200001032010;0
WSLBAF;200001032020;0
WSLBAF;200001032030;0
WSLBAF;200001032040;0
WSLBAF;200001032050;0
WSLBAF;200001032100;0
WSLBAF;200001032110;0
WSLBAF;200001032120;0
WSLBAF;200001032130;0
WSLBAF;200001032140;0
WSLBAF;200001032150;0
WSLBAF;200001032200;0
WSLBAF;200001032210;0
WSLBAF;200001032220;0
WSLBAF;200001032230;0
WSLBAF;200001032240;0
WSLBAF;200001032250;0
WSLBAF;200001032300;0
WSLBAF;200001032310;0
WSLBAF;200001032320;0
WSLBAF;200001032330;0
WSLBAF;200001032340;0
WSLBAF;200001032350;0
WSLBAF;200001040000;0
WSLBAF;200001040010;0
WSLBAF;200001040020;0
WSLBAF;200001040030;0
WSLBAF;200001040040;0
WSLBAF;200001040050;0
WSLBAF;200001040100;0
WSLBAF;200001040110;0
WSLBAF;200001040120;0
WSLBAF;200001040130;0
WSLBAF;200001040140;0
WSLBAF;200001040150;0
WSLBAF;200001040200;0
WSLBAF;200001040210;0
WSLBAF;200001040220;0
WSLBAF;200001040230;0
WSLBAF;200001040240;0
WSLBAF;200001040250;0
WSLBAF;200001040300;0
WSLBAF;200001040310;0
WSLBAF;200001040320;0
WSLBAF;200001040330;0
WSLBAF;200001040340;0
WSLBAF;200001040350;0
WSLBAF;200001040400;0
WSLBAF;200001040410;0
WSLBAF;200001040420;0
WSLBAF;200001040430;0
WSLBAF;200001040440;0
WSLBAF;200001040450;0
WSLBAF;200001040500;0
WSLBAF;200001040510;0
WSLBAF;200001040520;0
WSLBAF;200001040530;0
WSLBAF;200001040540;0
WSLBAF;200001040550;0
WSLBAF;200001040600;0
WSLBAF;200001040610;0
WSLBAF;200001040620;0
WSLBAF;200001040630;0
WSLBAF;200001040640;0
WSLBAF;200001040650;0
WSLBAF;200001040700;0
WSLBAF;200001040710;1
WSLBAF;200001040720;1
WSLBAF;200001040730;1
WSLBAF;200001040740;1
WSLBAF;200001040750;1
WSLBAF;200001040800;1
WSLBAF;200001040810;12
WSLBAF;200001040820;32
WSLBAF;200001040830;34
WSLBAF;200001040840;6
WSLBAF;200001040850;6
WSLBAF;200001040900;6
WSLBAF;200001040910;6
WSLBAF;200001040920;6
WSLBAF;200001040930;5
WSLBAF;200001040940;5
WSLBAF;200001040950;5
WSLBAF;200001041000;4
WSLBAF;200001041010;4
WSLBAF;200001041020;3
WSLBAF;200001041030;3
WSLBAF;200001041040;2
WSLBAF;200001041050;2
WSLBAF;200001041100;2
WSLBAF;200001041110;1
WSLBAF;200001041120;1
WSLBAF;200001041130;11
WSLBAF;200001041140;1
WSLBAF;200001041150;1
WSLBAF;200001041200;1
WSLBAF;200001041210;2
WSLBAF;200001041220;2
WSLBAF;200001041230;2
WSLBAF;200001041240;3
