Grenchen	430	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Grimsel Hospiz	1980	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Grono	324	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Gütsch ob Andermatt	2283	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Güttingen	440	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Hallau	419	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Hörnli	1144	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Ilanz	698	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Interlaken	577	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Isérables	1237	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Isone Bestand	1194	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Isone Freiland	1149	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Jeizinen	1556	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Jungfraujoch	3580	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Jussy Bestand	500	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Jussy Freiland	497	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Koppigen	484	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
La Brévine	1050	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
La Chaux-de-Fonds	1018	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Lachen / Galgenen	468	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	27.10.2015	31.12.2015	
La Dôle	1670	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
LaFouly	1564	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Lägern	845	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Langnau i.E.	745	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Lausanne Bestand	806	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Lausanne Freiland	790	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Leibstadt	341	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Le Moléson	1974	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Lens Bestand	1069	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Les Attelas	2730	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Les Charbonnières	1045	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Les Collons	1770	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Les Marécottes	990	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	24.08.2015	31.12.2015	
Locarno / Monti	367	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Lugano	273	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Luzern	454	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Magadino / Cadenazzo	203	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Marsens	715	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Mathod	437	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Matro	2171	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Mattsand	1230	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Meiringen	589	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Möhlin	344	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Moiry	2127	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Montana	1427	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Monte Generoso	1600	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Monte Rosa-Plattje	2885	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Mosen	453	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Mottec	1580	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	15.04.2015	31.12.2015	
Mühleberg	480	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Naluns / Schlivera	2400	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Napf	1404	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Nationalpark Bestand	1913	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Nationalpark Freiland	1899	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Nendaz	1938	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Neuchâtel	485	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Neunkirch Bestand	561	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Neunkrich Freiland	463	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Nottwil / SPZ	510	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	12.05.2015	31.12.2015	
Novaggio Bestand	928	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Novaggio Freiland	1055	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Nyon / Changins	455	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Oberriet, SG	409	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	05.05.2015	31.12.2015	
Oron	827	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Otemma	2357	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	10.12.2015	31.12.2015	
Othmarsingen Bestand	474	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Othmarsingen Freiland	461	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Passo del Bernina	2260	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Payerne	490	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Pilatus	2106	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Piotta	990	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Piz Corvatsch	3302	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Piz Martegnas	2670	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Plaffeien	1042	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015
Poschiavo / Robbia	1078	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
PSI Würenlingen	334	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Pully	456	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Robièi	1896	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Rossberg	1119	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Rünenberg	611	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Saas Balen	1535	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
